plz,name,canton,canton_name,municipality
1000,Lausanne 25,VD,Vaud,
1000,Lausanne 26,VD,Vaud,
1000,Lausanne 27,VD,Vaud,
1003,Lausanne,VD,Vaud,
1004,Lausanne,VD,Vaud,
1005,Lausanne,VD,Vaud,
1006,Lausanne,VD,Vaud,
1007,Lausanne,VD,Vaud,
1008,Jouxtens-Mézery,VD,Vaud,
1008,Prilly,VD,Vaud,
1009,Pully,VD,Vaud,
1010,Lausanne,VD,Vaud,
1011,Lausanne,VD,Vaud,
1012,Lausanne,VD,Vaud,
1015,Lausanne,VD,Vaud,
1018,Lausanne,VD,Vaud,
1020,Renens VD,VD,Vaud,
1022,Chavannes-près-Renens,VD,Vaud,
1023,Crissier,VD,Vaud,
1024,Ecublens VD,VD,Vaud,
1025,St-Sulpice VD,VD,Vaud,
1026,Denges,VD,Vaud,
1026,Echandens,VD,Vaud,
1027,Lonay,VD,Vaud,
1028,Préverenges,VD,Vaud,
1029,Villars-Ste-Croix,VD,Vaud,
1030,Bussigny,VD,Vaud,
1031,Mex VD,VD,Vaud,
1032,Romanel-sur-Lausanne,VD,Vaud,
1033,Cheseaux-sur-Lausanne,VD,Vaud,
1034,Boussens,VD,Vaud,
1035,Bournens,VD,Vaud,
1036,Sullens,VD,Vaud,
1037,Etagnières,VD,Vaud,
1038,Bercher,VD,Vaud,
1040,Echallens,VD,Vaud,
1040,St-Barthélemy VD,VD,Vaud,
1040,Villars-le-Terroir,VD,Vaud,
1041,Bottens,VD,Vaud,
1041,Dommartin,VD,Vaud,
1041,Montaubion-Chardonney,VD,Vaud,
1041,Naz,VD,Vaud,
1041,Poliez-Pittet,VD,Vaud,
1041,Poliez-le-Grand,VD,Vaud,
1042,Assens,VD,Vaud,
1042,Bettens,VD,Vaud,
1042,Bioley-Orjulaz,VD,Vaud,
1043,Sugnens,VD,Vaud,
1044,Fey,VD,Vaud,
1045,Ogens,VD,Vaud,
1046,Rueyres,VD,Vaud,
1047,Oppens,VD,Vaud,
1052,Le Mont-sur-Lausanne,VD,Vaud,
1053,Bretigny-sur-Morrens,VD,Vaud,
1053,Cugy VD,VD,Vaud,
1054,Morrens VD,VD,Vaud,
1055,Froideville,VD,Vaud,
1058,Villars-Tiercelin,VD,Vaud,
1059,Peney-le-Jorat,VD,Vaud,
1061,Villars-Mendraz,VD,Vaud,
1062,Sottens,VD,Vaud,
1063,Boulens,VD,Vaud,
1063,Chapelle-sur-Moudon,VD,Vaud,
1063,Martherenges,VD,Vaud,
1063,Peyres-Possens,VD,Vaud,
1066,Epalinges,VD,Vaud,
1068,Les Monts-de-Pully,VD,Vaud,
1070,Puidoux,VD,Vaud,
1071,Chexbres,VD,Vaud,
1071,Rivaz,VD,Vaud,
1071,St-Saphorin (Lavaux),VD,Vaud,
1072,Forel (Lavaux),VD,Vaud,
1073,Mollie-Margot,VD,Vaud,
1073,Savigny,VD,Vaud,
1076,Ferlens VD,VD,Vaud,
1077,Servion,VD,Vaud,
1078,Essertes,VD,Vaud,
1080,Les Cullayes,VD,Vaud,
1081,Montpreveyres,VD,Vaud,
1082,Corcelles-le-Jorat,VD,Vaud,
1083,Mézières VD,VD,Vaud,
1084,Carrouge VD,VD,Vaud,
1085,Vulliens,FR,Fribourg / Freiburg,
1088,Ropraz,VD,Vaud,
1090,La Croix (Lutry),VD,Vaud,
1091,Aran,VD,Vaud,
1091,Chenaux,VD,Vaud,
1091,Grandvaux,VD,Vaud,
1092,Belmont-sur-Lausanne,VD,Vaud,
1093,La Conversion,VD,Vaud,
1094,Paudex,VD,Vaud,
1095,Lutry,VD,Vaud,
1096,Cully,VD,Vaud,
1096,Villette (Lavaux),VD,Vaud,
1097,Riex,VD,Vaud,
1098,Epesses,VD,Vaud,
1110,Morges,VD,Vaud,
1112,Echichens,VD,Vaud,
1113,St-Saphorin-sur-Morges,VD,Vaud,
1114,Colombier VD,VD,Vaud,
1115,Vullierens,VD,Vaud,
1116,Cottens VD,VD,Vaud,
1117,Grancy,VD,Vaud,
1121,Bremblens,VD,Vaud,
1122,Romanel-sur-Morges,VD,Vaud,
1123,Aclens,VD,Vaud,
1124,Gollion,VD,Vaud,
1125,Monnaz,VD,Vaud,
1126,Vaux-sur-Morges,VD,Vaud,
1127,Clarmont,VD,Vaud,
1128,Reverolle,VD,Vaud,
1131,Tolochenaz,VD,Vaud,
1132,Lully VD,VD,Vaud,
1134,Chigny,VD,Vaud,
1134,Vufflens-le-Château,VD,Vaud,
1135,Denens,VD,Vaud,
1136,Bussy-Chardonney,VD,Vaud,
1141,Sévery,VD,Vaud,
1142,Pampigny,VD,Vaud,
1143,Apples,VD,Vaud,
1144,Ballens,VD,Vaud,
1145,Bière,VD,Vaud,
1146,Mollens VD,VD,Vaud,
1147,Montricher,VD,Vaud,
1148,Chavannes-le-Veyron,VD,Vaud,
1148,Cuarnens,VD,Vaud,
1148,L'Isle,VD,Vaud,
1148,La Coudre,VD,Vaud,
1148,La Praz,VD,Vaud,
1148,Mauraz,VD,Vaud,
1148,Moiry VD,VD,Vaud,
1148,Mont-la-Ville,VD,Vaud,
1148,Villars-Bozon,VD,Vaud,
1149,Berolle,VD,Vaud,
1162,St-Prex,VD,Vaud,
1163,Etoy,VD,Vaud,
1164,Buchillon,VD,Vaud,
1165,Allaman,VD,Vaud,
1166,Perroy,VD,Vaud,
1167,Lussy-sur-Morges,VD,Vaud,
1168,Villars-sous-Yens,VD,Vaud,
1169,Yens,VD,Vaud,
1170,Aubonne,VD,Vaud,
1172,Bougy-Villars,VD,Vaud,
1173,Féchy,VD,Vaud,
1174,Montherod,VD,Vaud,
1174,Pizy,VD,Vaud,
1175,Lavigny,VD,Vaud,
1176,St-Livres,VD,Vaud,
1180,Rolle,VD,Vaud,
1180,Tartegnin,VD,Vaud,
1182,Gilly,VD,Vaud,
1183,Bursins,VD,Vaud,
1184,Luins,VD,Vaud,
1184,Vinzel,VD,Vaud,
1185,Mont-sur-Rolle,VD,Vaud,
1186,Essertines-sur-Rolle,VD,Vaud,
1187,St-Oyens,VD,Vaud,
1188,Gimel,VD,Vaud,
1188,St-George,VD,Vaud,
1189,Saubraz,VD,Vaud,
1195,Bursinel,VD,Vaud,
1195,Dully,VD,Vaud,
1196,Gland,VD,Vaud,
1197,Prangins,VD,Vaud,
1201,Genève,GE,Genève,
1202,Genève,GE,Genève,
1203,Genève,GE,Genève,
1204,Genève,GE,Genève,
1205,Genève,GE,Genève,
1206,Genève,GE,Genève,
1207,Genève,GE,Genève,
1208,Genève,GE,Genève,
1209,Genève,GE,Genève,
1212,Grand-Lancy,GE,Genève,
1213,Onex,GE,Genève,
1213,Petit-Lancy,GE,Genève,
1214,Vernier,GE,Genève,
1215,Genève,GE,Genève,
1216,Cointrin,GE,Genève,
1217,Meyrin,GE,Genève,
1218,Le Grand-Saconnex,GE,Genève,
1219,Aïre,GE,Genève,
1219,Châtelaine,GE,Genève,
1219,Le Lignon,GE,Genève,
1220,Les Avanchets,GE,Genève,
1222,Vésenaz,GE,Genève,
1223,Cologny,GE,Genève,
1224,Chêne-Bougeries,GE,Genève,
1225,Chêne-Bourg,GE,Genève,
1226,Thônex,GE,Genève,
1227,Carouge GE,GE,Genève,
1227,Les Acacias,GE,Genève,
1228,Plan-les-Ouates,GE,Genève,
1231,Conches,GE,Genève,
1232,Confignon,GE,Genève,
1233,Bernex,GE,Genève,
1234,Vessy,GE,Genève,
1236,Cartigny,GE,Genève,
1237,Avully,GE,Genève,
1239,Collex,GE,Genève,
1241,Puplinge,GE,Genève,
1242,Satigny,GE,Genève,
1243,Presinge,GE,Genève,
1244,Choulex,GE,Genève,
1245,Collonge-Bellerive,GE,Genève,
1246,Corsier GE,GE,Genève,
1247,Anières,GE,Genève,
